Disease,Sex,Age_Group,Count
Cholera (A00),Male,(<1),0
Typhoid and para typhoid fever (A01),Male,(<1),16
Typhoid and para typhoid fever (A01),Female,(<1),9
Shigellosis (A03),Male,(<1),181
Shigellosis (A03),Female,(<1),138
Amoebiasis with liver abscess(A06.4),Male,(<1),3
Amoebiasis with liver abscess(A06.4),Female,(<1),2
"Amoebiasis others (A06.0-A06.3,A06.5-A06.9)",Male,(<1),68
"Amoebiasis others (A06.0-A06.3,A06.5-A06.9)",Female,(<1),59
"Food poisoning (A02.0,A05)",Male,(<1),60
"Food poisoning (A02.0,A05)",Female,(<1),91
Diarrhoea and gastroenteritis of presumed infectious origin (A09),Male,(<1),6649
Diarrhoea and gastroenteritis of presumed infectious origin (A09),Female,(<1),5058
"Other intestinal infectious diseases (A04,A07,A08)",Male,(<1),322
"Other intestinal infectious diseases (A04,A07,A08)",Female,(<1),255
"Tuberculosis of lung confirmed by sputum microscopy, culture,histologically or by unspecified means  (A15.0-A15.3)",Male,(<1),11
"Tuberculosis of lung confirmed by sputum microscopy, culture,histologically or by unspecified means  (A15.0-A15.3)",Female,(<1),2
Tuberculosis of lung not confirmed (A16-A16.2),Male,(<1),1
Tuberculosis of lung not confirmed (A16-A16.2),Female,(<1),3
Other Respiratory Tuberculosis confirmed bacteriologically and histologically   (A15.4-A15.9),Male,(<1),6
Other Respiratory Tuberculosis confirmed bacteriologically and histologically   (A15.4-A15.9),Female,(<1),10
Other Respiratory Tuberculosis not confirmed (A16.3-A16.9),Male,(<1),0
Other Respiratory Tuberculosis not confirmed (A16.3-A16.9),Female,(<1),1
Tuberculosis of nervous system (A17),Male,(<1),0
Tuberculosis of nervous system (A17),Female,(<1),0
Tuberculosis of other organs (A18),Male,(<1),2
Tuberculosis of other organs (A18),Female,(<1),0
Miliary tuberculosis (A19),Male,(<1),0
Miliary tuberculosis (A19),Female,(<1),1
Plague (A20),Male,(<1),1
Plague (A20),Female,(<1),0
Anthrax (A22),Male,(<1),0
Anthrax (A22),Female,(<1),0
Brucellosis (A23),Male,(<1),0
Brucellosis (A23),Female,(<1),0
Leptospirosis (A27),Male,(<1),4
Leptospirosis (A27),Female,(<1),1
Leprosy (A30),Male,(<1),1
Leprosy (A30),Female,(<1),0
Tetanus neonatorum (A33),Male,(<1),7
Tetanus neonatorum (A33),Female,(<1),6
Obsterical tetanus (A34),Male,(<1),0
Obsterical tetanus (A34),Female,(<1),0
Other tetanus (A35),Male,(<1),0
Other tetanus (A35),Female,(<1),0
Diphtheria (A36),Male,(<1),0
Diphtheria (A36),Female,(<1),0
Whooping cough(A37),Male,(<1),13
Whooping cough(A37),Female,(<1),18
Meningococcal infections (A39),Male,(<1),6
Meningococcal infections (A39),Female,(<1),2
"Septicaemia (A40,A41)",Male,(<1),1166
"Septicaemia (A40,A41)",Female,(<1),1008
"Other bacterial diseases (A21,A24-A26,A28,A31,A32,A38,A42-A49)",Male,(<1),26
"Other bacterial diseases (A21,A24-A26,A28,A31,A32,A38,A42-A49)",Female,(<1),27
Congenital Syphilis(A50),Male,(<1),2
Congenital Syphilis(A50),Female,(<1),1
Early Syphilis(A51),Male,(<1),0
Early Syphilis(A51),Female,(<1),0
Late Syphilis(A52),Male,(<1),0
Late Syphilis(A52),Female,(<1),0
Other and unspecified Syphilis(A53),Male,(<1),0
Other and unspecified Syphilis(A53),Female,(<1),0
Gonococcal infections (A54),Male,(<1),0
Gonococcal infections (A54),Female,(<1),0
Chlamydial lymphogranuloma (venereum)(A55),Male,(<1),0
Chlamydial lymphogranuloma (venereum)(A55),Female,(<1),1
Other sexually transmitted chlamydia diseases(A56),Male,(<1),0
Other sexually transmitted chlamydia diseases(A56),Female,(<1),0
Chancroid(A57),Male,(<1),0
Chancroid(A57),Female,(<1),0
Granuloma inguinale(A58),Male,(<1),0
Granuloma inguinale(A58),Female,(<1),0
Trichomoniasis(A59),Male,(<1),0
Trichomoniasis(A59),Female,(<1),0
Anogenital herpesviral (herpes simplex) infection(A60),Male,(<1),0
Anogenital herpesviral (herpes simplex) infection(A60),Female,(<1),1
"Other predominantly sexually transmitted diseases, not elsewhere classified(A63)",Male,(<1),0
"Other predominantly sexually transmitted diseases, not elsewhere classified(A63)",Female,(<1),0
Unspecified sexually transmitted disease(A64),Male,(<1),0
Unspecified sexually transmitted disease(A64),Female,(<1),0
Rabies (A82),Male,(<1),0
Rabies (A82),Female,(<1),0
Viral encephalitis (includes Japanese Encephalitis)       (A83-A86),Male,(<1),12
Viral encephalitis (includes Japanese Encephalitis)       (A83-A86),Female,(<1),14
Viral meningitis (A87),Male,(<1),78
Viral meningitis (A87),Female,(<1),59
Dengue fever (A90),Male,(<1),96
Dengue fever (A90),Female,(<1),76
Dengue haemorrhagic fever (A91),Male,(<1),67
Dengue haemorrhagic fever (A91),Female,(<1),55
"Other arthropod-borne viral fever and viral haemorrhagic fever (A92-A94,A96-A99)",Male,(<1),137
"Other arthropod-borne viral fever and viral haemorrhagic fever (A92-A94,A96-A99)",Female,(<1),140
Varicella (Chickenpox) (B01),Male,(<1),71
Varicella (Chickenpox) (B01),Female,(<1),68
Zoster (herpese zoster) (B02),Male,(<1),12
Zoster (herpese zoster) (B02),Female,(<1),5
Measles (B05),Male,(<1),565
Measles (B05),Female,(<1),457
Rubella (B06),Male,(<1),1
Rubella (B06),Female,(<1),6
Congenital rubella (P35.0),Male,(<1),2
Congenital rubella (P35.0),Female,(<1),0
Acute hepatitis A (B15),Male,(<1),9
Acute hepatitis A (B15),Female,(<1),7
Acute hepatitis B (B16),Male,(<1),0
Acute hepatitis B (B16),Female,(<1),1
"Chronic, other acute and unspecified viral hepatitis(B17-B19)",Male,(<1),1
"Chronic, other acute and unspecified viral hepatitis(B17-B19)",Female,(<1),1
Human immunodeficiency virus (HIV) (B20-B24),Male,(<1),0
Human immunodeficiency virus (HIV) (B20-B24),Female,(<1),1
Mumps (B26),Male,(<1),26
Mumps (B26),Female,(<1),46
"Other viral diseases(includes viral fever)(A81,A88,A89,B00,B03,B04,B07-09,B25,B27-B34)",Male,(<1),7668
"Other viral diseases(includes viral fever)(A81,A88,A89,B00,B03,B04,B07-09,B25,B27-B34)",Female,(<1),6716
Mycosis (B35-B49),Male,(<1),36
Mycosis (B35-B49),Female,(<1),39
Malaria (B50-B54),Male,(<1),0
Malaria (B50-B54),Female,(<1),0
Filariasis (B74),Male,(<1),10
